스토리 보드 기반 페이지 설명_RIS
페이지 : 72~83
내용 : RIS

===
제공하신 스토리보드 파일(스토리보드 최종\_v1.0.pptx)의 72페이지부터 83페이지까지에 해당하는 **영상의학과(RIS) 페이지의 화면 구성**을 분석하여 단계별로 설명드립니다.

**영상의학과(RIS) 화면 구성 분석 (P.72 \~ P.83)**

| 페이지    | 스토리보드 명칭               | 메뉴 경로                     | 주요 화면 구성 요소                                                                                                                                                                         |
| :----- | :--------------------- | :------------------------ | :---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **72** | 영상의학과 기능 (웹)           | \-                        | **주요 기능 목록:** 판독 Worklist, Study 상세 정보, Viewer + Report Draft, Report Final, AI 결과 연동.                                                                                              |
| **73** | RIS의 주요 기능             | \-                        | **RIS 역할 설명:** 환자 접수 및 예약 관리, 검사 처방 연동, 판독 및 보고서 생성 등 주요 기능 설명.<br>**판독 워크플로우:** Worklist → 영상 판독 상세조회 → 판독 리포트 작성 → Final 확정 단계 표시.                                                |
| **74** | 영상 판독 작업 목록            | 판독 Worklist \> 내 Worklist | **조회/필터링 영역:** 상태(Pending/Reading/Finalized), 기간, Modality(CT/MRI 등), 우선순위(Normal/STAT) 선택 필터.<br>**Worklist 목록:** 담당자에게 할당된 영상 검사 Study 목록 (환자명, 검사명, 상태 등) 테이블.                   |
| **75** | 영상 판독 작업 상세조회          | 내 Worklist에서 Study 선택     | **환자 개인정보 (좌측):** 이름, 연락처, 생년월일, 환자번호 등.<br>**검사/Study 정보 (우측 상단):** 검사 정보, 오더 내용, 현재 상태(검사 완료 등).<br>**AI 분석 결과 요약:** 이상 소견, 위험도, Confidence 값 표시.<br>**액션 버튼:** 영상 조회, 판독 리포트 작성. |
| **76** | 영상 판독 상세조회             | Study 조회 \> 환자별 study 조회  | **환자 정보 헤더:** 환자 ID, 성명, 진료과, 검사일 등.<br>**액션 버튼:** 영상 조회, AI 분석 요약, **판독 시작** (상태 변경), 판독 리포트 작성.                                                                                   |
| **77** | 영상 조회 및 결과 보고서 작성      | 판독 리포트 \> Report 작성       | **리포트 작성 영역:** 판독 소견(Findings) 및 판독 결론(Impression) 텍스트 입력 필드.<br>**AI 분석 요약:** AI 분석 결과 미리보기.<br>**저장 옵션:** 임시 저장, **Final 저장** (수정 불가 경고).                                         |
| **78** | 영상 판독 결과 보고서 조회 1      | 판독 리포트 \> Report 조회       | **Report 내용:** 작성된 판독 소견 및 결론 표시 (판독자, 판독일, 상태 포함).<br>**AI 분석 결과:** AI 소견 및 위험도/Confidence 표시.<br>**액션 버튼:** 영상 조회, 수정, Final 저장.                                                  |
| **79** | 영상 판독 결과 보고서 조회 2      | 판독 리포트 \> Report 조회       | **Report 수정/확정 강조:** 상태가 Finalized가 아닐 경우, **수정** 및 **Final 저장** 버튼 제공.                                                                                                             |
| **80** | 영상 판독 결과 보고서 조회 3      | 판독 리포트 \> Final Report 조회 | **Final Report 내용 표시:** 최종 확정된 판독 리포트.<br>**출력/전송 옵션:** **EMR 전송**, **PDF 출력** 버튼 제공.                                                                                               |
| **81** | 영상 판독 작업 목록 (전체 판독 현황) | 판독 진행 현황 \> 전체 판독 현황      | **현황 요약:** 전체 검사 건수, Pending/Reading/Finalized 건수 요약.<br>**진행 상황 분포:** 판독 상태 분포 그래프.<br>**지연 판독 알림:** Reading/Pending 상태가 일정 시간을 초과한 Study 목록 알림.                                   |
| **82** | AI 분석 결과 연동 1          | AI 분석                     | **DICOM Viewer 영역 (좌측):** 촬영 영상 확인 영역.<br>**AI 분석 결과 (우측):** AI 병변 분석, 요약 결과 (위험도, 주요 소견 등).<br>**액션 버튼:** AI 결과 자세히 보기.                                                            |
| **83** | AI 분석 결과 연동 2          | AI 분석 (상세 보기 선택)          | **AI 상세 분석 정보:** 분석 대상, 최근 분석일, 위험도, 주요 소견 등 상세 내용.<br>**안내 문구:** 결과가 참고 자료이며 최종 판단은 의료진의 결정에 따른다는 경고 문구 표시.                                                                        |

