스토리 보드 기반 페이지 설명_lis 
페이지 : 84~91
내용 : 진단검사의학과
'http://localhost:5173/lab'가 LIS 화면이다. 
===
제공해 주신 스토리보드 파일(84페이지\~91페이지)을 기반으로 **진단검사의학과(LIS) 페이지의 화면 구성 및 기능**을 분석하여 정리했습니다.

-----

**진단검사의학과(LIS) 화면 구성 분석 (P.84 \~ P.91)**

| 페이지    | 스토리보드 명칭              | 주요 화면 구성 및 기능                                                                                                                                                                                                            |
| :----: | :-------------------: | :----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------: |
| **84** | 진단검사의학과 기능 (웹)        | **주요 기능 목록:** 검사 결과, 수신 결과 처리, 상태 환자별 결과, 목록 결과, 상세/해석 결과 Alert. **워크플로우:** 검사 결과 수신/업로드 → 파싱/정규화 → 검사 결과 관리/모니터링 → 검사 결과 상세 → 검증/보고 확정/Interpretation. (LIS는 EMR/OCS의 오더 관리를 참조하고, 결과 중심 관리가 목적임을 명시)                   |
| **85** | 검사 작업 업로드             | **목적:** 외부 LIS 또는 검사 장비로부터 수신된 Raw 검사 결과 파일(CSV/HL7/FHIR 등)을 업로드하고 시스템에 입력. **구성:** 파일 업로드 영역, 처리(파싱/정규화) 진행 및 결과 로그 제공 (성공/실패/오류 메시지).                                                                                  |
| **86** | 검사 결과 처리 상태 화면 (LIS)  | **목적:** 업로드된 Raw 데이터의 파싱, 정규화, 저장 상태를 확인하고 오류 발생 시 재처리 수행. **구성:** 검사 결과 수신 목록 테이블 (Raw ID, 수신 시간, 파싱 상태, 저장 상태, 오류 메시지, 재처리 버튼).                                                                                        |
| **87** | 환자 검사 결과 조회 1 (관리)    | **목적:** LIS용 검사 결과 관리/모니터링. **필터링:** 검사 유형(혈액/생화학 등), 결과 상태(접수/분석 중 등), 이상 여부(정상/이상/Critical)별로 필터링 조회. **구성:** 결과 현황 탭(전체/미검증/이상/Critical 등), 검사 결과 목록 테이블 (Flag를 통해 이상 및 Critical 결과 직관적 식별).                          |
| **88** | 환자 검사 결과 조회 2 (상세/검증) | **목적:** 환자의 검사 결과를 상세 조회하고, 이상/Critical 결과에 대해 검증 및 보고 확정 수행. **구성:** 환자 정보 및 검사 결과 요약(이상 항목/주의 항목/주요 소견), LIS/EMR 검사 결과 테이블(결과값, 정상범위, 상태 표시). **관리 영역:** 현재 상태 표시, **결과 검증** 및 **보고 확정** 버튼, Critical 결과 **조치 이력** 기록. |
| **89** | 환자 검사 결과 조회 3 (해석 입력) | **목적:** 검사 결과 상세 화면에 검사 결과에 대한 \*\*의학적 해석(Interpretation)\*\*을 입력하고 저장. **구성:** 해석 내용 입력 필드, 저장 버튼, 작성자/작성일시/수정 이력 표시.                                                                                                   |
| **90** | 검사 결과 Alert 화면        | **목적:** 이상 또는 치명적인(Critical) 결과에 대한 알림을 확인. **구성:** Alert 리스트 테이블 (발생 시간, 환자, 검사 항목, 중요도, 상태), 확인 처리 및 상세 보기 액션 버튼.                                                                                                      |

*참고: P.91은 P.90의 화면에 대한 설명 영역으로 별도의 새로운 화면은 아닙니다.*
